Date,Department,Category,Amount,Description,Type
2025-01-21,Operations,IT Infrastructure,15423.87,Help Desk Software,Expense
2025-01-21,Sales,Product Sales,62100.28,Starter Bundle - Summit Healthcare,Revenue
2025-01-22,Operations,Utilities,3496.23,Electric Bill - Regional East,Expense
2025-01-22,Marketing,PR & Communications,7619.8,Analyst Relations - IDC,Expense
2025-01-22,Marketing,PR & Communications,2824.21,Executive Comms Coaching,Expense
2025-01-22,Finance,Software & Tools,11221.92,NetSuite License - Monthly,Expense
2025-01-22,Operations,Insurance,7591.96,Cyber Liability Insurance,Expense
2025-01-22,Sales,Sales Commissions,19865.58,Accelerator Bonus,Expense
2025-01-22,Sales,Travel & Entertainment,9002.11,Client Dinner - Atlanta,Expense
2025-01-23,Sales,Recurring Revenue,177629.27,Monthly Subscription - Northwind Traders,Revenue
2025-01-23,Marketing,Content & Creative,24350.38,Agency Retainer - Spark Creative,Expense
2025-01-24,Marketing,Digital Advertising,11422.51,Retargeting Campaign,Expense
2025-01-24,Marketing,Digital Advertising,8896.4,Paid Search - Brand Terms,Expense
2025-01-25,Marketing,Content & Creative,7379.96,Freelance Writer - Case Study,Expense
2025-01-25,Finance,Professional Services,9916.31,Technical Accounting Support,Expense
2025-01-25,Finance,Training & Certifications,469.18,CPA CPE Credits - A. Davis,Expense
2025-01-25,Sales,Service Revenue,214186.38,Consulting Engagement - Granite Construction,Revenue
2025-01-25,Sales,Training & Development,2374.44,Certification Course,Expense
2025-01-26,Sales,Office Supplies,793.34,Demo Equipment,Expense
2025-01-26,Operations,IT Infrastructure,4135.79,Cybersecurity Suite - Fortinet,Expense
2025-01-26,Operations,Insurance,2500.79,Workers Compensation,Expense
2025-01-26,Finance,Banking & Merchant Fees,5505.01,Credit Card Processing Fees,Expense
2025-01-26,Marketing,PR & Communications,2224.88,PR Agency Retainer - Edelman,Expense
2025-01-27,Operations,Office Supplies & General,353.11,Paper Products,Expense
2025-01-27,Operations,Utilities,2476.69,Electric Bill - Regional West,Expense
2025-01-27,Operations,Logistics & Shipping,3021.2,FedEx Account - Monthly,Expense
2025-01-27,Operations,Facilities & Rent,19909.61,Common Area Charges,Expense
2025-01-27,Sales,Client Entertainment,1493.72,Client Gift - Harbor Media,Expense
2025-01-27,Sales,Recurring Revenue,160567.32,Monthly Subscription - Northwind Traders,Revenue
2025-01-27,Sales,Sales Commissions,25186.59,Bonus - Q1 Performance,Expense
2025-01-27,Sales,Software & Subscriptions,2765.22,Salesforce License,Expense
2025-01-28,Sales,Product Sales,86705.74,Growth Package - Summit Healthcare,Revenue
2025-01-28,Operations,Equipment & Maintenance,12216.49,Office Furniture - Monitors,Expense
2025-01-28,Sales,Travel & Entertainment,7116.65,Uber/Taxi - Denver,Expense
2025-01-28,Marketing,Digital Advertising,38731.39,Retargeting Campaign,Expense
2025-01-28,Finance,Recruiting & HR,1994.12,Onboarding Materials,Expense
2025-02-01,Marketing,Content & Creative,4951.21,Video Production - Social Content,Expense
2025-02-01,Operations,Facilities & Rent,23856.92,Building Maintenance Fee,Expense
2025-02-02,Finance,Office & Admin,873.99,Office Supplies - Finance,Expense
2025-02-02,Operations,Facilities & Rent,32384.27,Parking Garage Contract,Expense
2025-02-02,Marketing,Digital Advertising,10986.75,Paid Search - Brand Terms,Expense
2025-02-02,Operations,Security Services,10955.36,Access Control System,Expense
2025-02-02,Operations,Insurance,9835.23,Workers Compensation,Expense
2025-02-02,Operations,Equipment & Maintenance,2800.66,Computer Hardware - Keyboards/Mice,Expense
2025-02-02,Operations,IT Infrastructure,7935.57,Backup & Recovery Services,Expense
2025-02-02,Operations,Utilities,6551.21,Water & Sewer - Regional East,Expense
2025-02-02,Operations,Facilities & Rent,15512.31,Building Maintenance Fee,Expense
2025-02-02,Marketing,PR & Communications,6522.68,Media Monitoring Service,Expense
2025-02-03,Finance,Training & Certifications,1399.26,Technical Accounting Training,Expense
2025-02-04,Operations,Security Services,2332.76,Security Camera Maintenance,Expense
2025-02-04,Marketing,Digital Advertising,3511.94,Display Network - Brand Awareness,Expense
2025-02-05,Operations,Logistics & Shipping,1789.99,Package Room Supplies,Expense
2025-02-05,Finance,Office & Admin,1883.94,Subscription - WSJ,Expense
2025-02-05,Operations,Insurance,4275.19,General Liability Insurance,Expense
2025-02-05,Sales,Travel & Entertainment,15942.36,Client Dinner - New York,Expense
2025-02-05,Operations,Office Supplies & General,3402.71,Janitorial Service Contract,Expense
2025-02-05,Operations,Utilities,4261.29,Waste Management,Expense
2025-02-05,Operations,Office Supplies & General,2722.43,Office Supplies - Staples,Expense
2025-02-05,Operations,Office Supplies & General,1090.07,Office Supplies - W.B. Mason,Expense
2025-02-06,Operations,Office Supplies & General,3571.38,Paper Products,Expense
2025-02-06,Operations,Logistics & Shipping,3117.49,FedEx Account - Monthly,Expense
2025-02-06,Finance,Banking & Merchant Fees,1904.31,Foreign Exchange Fees,Expense
2025-02-06,Finance,Professional Services,6261.24,Tax Advisory - Deloitte Tax,Expense
2025-02-07,Finance,Software & Tools,11279.51,Adaptive Insights,Expense
2025-02-07,Sales,Training & Development,776.52,Sales Training Program,Expense
2025-02-07,Marketing,Digital Advertising,9625.15,LinkedIn Ads - Event Promo,Expense
2025-02-08,Marketing,Brand & Collateral,4938.61,Print Brochures,Expense
2025-02-08,Marketing,Events & Sponsorships,6424.49,Speaker Fee - Digital Marketing World,Expense
2025-02-08,Marketing,PR & Communications,5831.23,PR Agency Retainer - FleishmanHillard,Expense
2025-02-08,Finance,Office & Admin,1746.2,Department Supplies,Expense
2025-02-08,Operations,Equipment & Maintenance,13590.64,HVAC Maintenance,Expense
2025-02-08,Operations,IT Infrastructure,19879.4,Zoom Enterprise License,Expense
2025-02-08,Sales,Training & Development,551.85,Certification Course,Expense
2025-02-09,Finance,Banking & Merchant Fees,4751.08,Merchant Processing - Square,Expense
2025-02-09,Finance,Recruiting & HR,2474.31,Job Board Posting - Indeed,Expense
2025-02-09,Sales,Product Sales,185238.43,Starter Bundle - Acme Corp,Revenue
2025-02-09,Marketing,Content & Creative,9283.81,Stock Images License,Expense
2025-02-10,Marketing,Events & Sponsorships,10712.33,Roadshow - Boston,Expense
2025-02-10,Operations,Utilities,2408.94,Water & Sewer - Regional West,Expense
2025-02-10,Operations,Insurance,3313.29,Property Insurance - Quarterly,Expense
2025-02-10,Marketing,Software & Tools,6969.24,Drift Chatbot,Expense
2025-02-11,Sales,Service Revenue,83702.87,Support Retainer - Jasper Analytics,Revenue
2025-02-11,Finance,Software & Tools,7701.47,Concur Expense Management,Expense
2025-02-12,Operations,Equipment & Maintenance,4053.85,Copier Lease - HP,Expense
2025-02-12,Marketing,PR & Communications,2483.4,PR Agency Retainer - FleishmanHillard,Expense
2025-02-12,Sales,Recurring Revenue,117645.2,Monthly Subscription - Beacon Financial,Revenue
2025-02-12,Finance,Training & Certifications,1586.69,Technical Accounting Training,Expense
2025-02-12,Sales,Recurring Revenue,210214.62,Annual Contract - Oakmont Properties,Revenue
2025-02-12,Sales,Recurring Revenue,69262.96,Annual Contract - Oakmont Properties,Revenue
2025-02-13,Marketing,Digital Advertising,6287.33,Programmatic Buy - Retargeting,Expense
2025-02-13,Marketing,Brand & Collateral,3994.81,Business Cards Reorder,Expense
2025-02-13,Finance,Office & Admin,2012.24,Department Supplies,Expense
2025-02-13,Sales,Office Supplies,544.02,Business Cards,Expense
2025-02-14,Operations,Facilities & Rent,27079.53,Office Lease - Regional Office - East,Expense
2025-02-14,Sales,Software & Subscriptions,2736.18,Salesforce License,Expense
2025-02-16,Marketing,Software & Tools,5509.95,Google Analytics 360,Expense
2025-02-16,Sales,Service Revenue,121830.38,Training Package - Vertex Solutions,Revenue
2025-02-16,Sales,Sales Commissions,37607.94,Bonus - Q1 Performance,Expense
2025-02-16,Operations,Equipment & Maintenance,6001.55,Copier Lease - Canon,Expense
2025-02-16,Sales,Recurring Revenue,39461.1,API Usage - Atlas Manufacturing,Revenue
2025-02-17,Operations,Security Services,2738.83,Visitor Management System,Expense
2025-02-17,Operations,Insurance,2718.77,Workers Compensation,Expense
2025-02-17,Finance,Software & Tools,1669.56,Expensify Licenses,Expense
2025-02-17,Finance,Banking & Merchant Fees,5677.83,Foreign Exchange Fees,Expense
2025-02-17,Marketing,Digital Advertising,13858.96,Paid Search - Non-Brand,Expense
2025-02-18,Marketing,Content & Creative,17349.13,Freelance Writer - Landing Pages,Expense
2025-02-18,Sales,Product Sales,54099.2,Growth Package - Summit Healthcare,Revenue
2025-02-18,Sales,Sales Commissions,51357.55,SPIF Payout,Expense
2025-02-18,Sales,Software & Subscriptions,2046.04,Outreach License,Expense
2025-02-18,Finance,Software & Tools,2986.83,FloQast Close Management,Expense
2025-02-18,Finance,Audit & Compliance,52671.09,SOX Compliance Testing,Expense
2025-02-19,Finance,Recruiting & HR,2270.29,Job Board Posting - Indeed,Expense
2025-02-20,Sales,Office Supplies,834.53,Sales Collateral Printing,Expense
2025-02-20,Finance,Software & Tools,1618.6,Coupa Procurement,Expense
2025-02-20,Marketing,Content & Creative,3736.89,Animation Project,Expense
2025-02-21,Sales,Product Sales,-447717.66,Professional Tier - Meridian Foods,Revenue
2025-02-21,Sales,Client Entertainment,1473.92,Event Tickets - Northwind Traders,Expense
2025-02-21,Finance,Software & Tools,1135.93,FloQast Close Management,Expense
2025-02-21,Finance,Training & Certifications,2064.31,Finance Conference - FP&A Summit,Expense
2025-02-21,Operations,Logistics & Shipping,5304.55,USPS Postage Meter,Expense
2025-02-22,Marketing,Digital Advertising,31359.29,YouTube Pre-roll Ads,Expense
2025-02-22,Sales,Service Revenue,124333.71,Consulting Engagement - Granite Construction,Revenue
2025-02-22,Operations,Utilities,4323.71,Electric Bill - HQ,Expense
2025-02-23,Sales,Travel & Entertainment,10139.35,Hotel - Miami,Expense
2025-02-23,Sales,Software & Subscriptions,5441.27,Salesforce License,Expense
2025-02-23,Sales,Client Entertainment,1574.43,Thank You Gift,Expense
2025-02-23,Marketing,Events & Sponsorships,11903.12,Speaker Fee - B2B Sales Con,Expense
2025-02-24,Marketing,Digital Advertising,6253.17,Paid Search - Non-Brand,Expense
2025-02-24,Sales,Software & Subscriptions,1314.37,LinkedIn Sales Navigator,Expense
2025-02-24,Finance,Professional Services,9320.89,Valuation Services,Expense
2025-02-24,Sales,Training & Development,480.11,Workshop Fee,Expense
2025-02-24,Operations,Office Supplies & General,2129.46,Cleaning Supplies,Expense
2025-02-25,Sales,Recurring Revenue,37892.44,Platform Access - Pinnacle Industries,Revenue
2025-02-25,Sales,Product Sales,297615.0,Enterprise License - Delta Logistics,Revenue
2025-02-26,Sales,Recurring Revenue,68387.62,API Usage - Delta Logistics,Revenue
2025-02-26,Operations,IT Infrastructure,17185.39,Slack Business+ Plan,Expense
2025-02-26,Marketing,Software & Tools,3092.62,Vidyard License,Expense
2025-02-26,Operations,Logistics & Shipping,6270.85,Package Room Supplies,Expense
2025-02-26,Marketing,Software & Tools,9467.47,Marketo Subscription,Expense
2025-02-27,Sales,Travel & Entertainment,6535.58,Conference Travel,Expense
2025-02-27,Sales,Service Revenue,65412.75,Consulting Engagement - Summit Healthcare,Revenue
2025-02-27,Marketing,PR & Communications,3858.79,Press Release Distribution,Expense
2025-02-27,Marketing,Brand & Collateral,2975.29,Company Swag Order,Expense
2025-02-27,Finance,Recruiting & HR,1023.93,Job Board Posting - Indeed,Expense
2025-02-27,Sales,Training & Development,701.31,Sales Training Program,Expense
2025-02-28,Sales,Office Supplies,418.36,Presentation Materials,Expense
2025-02-28,Sales,Product Sales,282208.85,Enterprise License - Keystone Energy,Revenue
2025-02-28,Finance,Professional Services,5935.28,Tax Return Preparation,Expense
2025-02-28,Finance,Banking & Merchant Fees,6167.25,Bank Account Fees - Citibank,Expense
2025-02-28,Operations,Office Supplies & General,2463.11,Coffee Service - Monthly,Expense
2025-02-28,Operations,Equipment & Maintenance,5996.19,Copier Lease - HP,Expense
2025-03-01,Operations,IT Infrastructure,27697.09,Okta Identity Management,Expense
2025-03-01,Marketing,Content & Creative,4355.03,Freelance Writer - Whitepaper,Expense
2025-03-01,Marketing,PR & Communications,1327.17,PR Agency Retainer - Brunswick Group,Expense
2025-03-01,Operations,Utilities,7114.32,Electric Bill - Regional East,Expense
2025-03-01,Marketing,Digital Advertising,37979.26,Display Network - ABM Campaign,Expense
2025-03-02,Marketing,Events & Sponsorships,2315.48,Conference Sponsorship - SaaStr Annual,Expense
2025-03-02,Marketing,Brand & Collateral,1859.7,Business Cards Reorder,Expense
2025-03-02,Operations,Security Services,2997.66,Access Control System,Expense
2025-03-02,Operations,Equipment & Maintenance,20361.89,Monitor Refresh Program,Expense
2025-03-02,Finance,Training & Certifications,2714.28,Technical Accounting Training,Expense
2025-03-03,Finance,Office & Admin,2131.79,Reference Materials,Expense
2025-03-03,Operations,Utilities,1774.34,Water & Sewer - Regional East,Expense
2025-03-03,Operations,Utilities,1322.58,Phone System - Monthly,Expense
2025-03-03,Operations,Office Supplies & General,2051.68,Coffee Service - Monthly,Expense
2025-03-03,Finance,Software & Tools,6211.7,FloQast Close Management,Expense
2025-03-03,Marketing,Content & Creative,4539.31,Freelance Writer - Email Templates,Expense
2025-03-04,Operations,Utilities,4331.15,Internet Service - AT&T Fiber,Expense
2025-03-04,Finance,Software & Tools,3864.27,NetSuite License - Monthly,Expense
2025-03-05,Finance,Office & Admin,969.58,Department Supplies,Expense
2025-03-06,Operations,Security Services,2065.3,Access Control System,Expense
2025-03-07,Marketing,Events & Sponsorships,7183.38,Event Swag & Materials,Expense
2025-03-07,Marketing,Events & Sponsorships,4015.21,Event Swag & Materials,Expense
2025-03-07,Finance,Training & Certifications,1730.36,CFI Certification Program,Expense
2025-03-08,Operations,Logistics & Shipping,3964.34,Freight Shipping - XPO Logistics,Expense
2025-03-08,Sales,Training & Development,1956.9,Coaching Session,Expense
2025-03-08,Operations,Insurance,6488.66,Workers Compensation,Expense
2025-03-09,Sales,Service Revenue,63218.11,Training Package - Summit Healthcare,Revenue
2025-03-09,Marketing,Digital Advertising,4871.81,Paid Search - Brand Terms,Expense
2025-03-09,Marketing,Digital Advertising,4321.74,LinkedIn Ads - Product Launch,Expense
2025-03-09,Finance,Audit & Compliance,17976.81,Audit Committee Support,Expense
2025-03-10,Sales,Training & Development,1197.7,Conference Registration,Expense
2025-03-10,Marketing,Digital Advertising,5372.34,YouTube Pre-roll Ads,Expense
2025-03-10,Sales,Client Entertainment,3532.9,Thank You Gift,Expense
2025-03-11,Marketing,Content & Creative,2216.04,Stock Images License,Expense
2025-03-11,Operations,Insurance,6948.88,Cyber Liability Insurance,Expense
2025-03-11,Marketing,Events & Sponsorships,5327.45,Roadshow - Nashville,Expense
2025-03-11,Marketing,Brand & Collateral,1226.64,Office Signage,Expense
2025-03-11,Operations,Utilities,1567.29,Natural Gas - Regional West,Expense
2025-03-11,Sales,Product Sales,151290.05,Starter Bundle - Harbor Media,Revenue
2025-03-11,Sales,Service Revenue,309290.76,Consulting Engagement - Crestwood Partners,Revenue
2025-03-12,Operations,Security Services,3207.37,Access Control System,Expense
2025-03-12,Marketing,Software & Tools,8690.21,6sense Platform,Expense
2025-03-12,Sales,Sales Commissions,10773.76,Bonus - Q1 Performance,Expense
2025-03-12,Marketing,Content & Creative,8949.83,Freelance Writer - Whitepaper,Expense
2025-03-13,Marketing,Digital Advertising,3384.65,LinkedIn Ads - Event Promo,Expense
2025-03-13,Operations,Utilities,1504.77,Water & Sewer - HQ,Expense
2025-03-13,Finance,Software & Tools,7358.98,Bill.com Payment Platform,Expense
2025-03-13,Finance,Recruiting & HR,3120.64,Background Check Services,Expense
2025-03-13,Finance,Banking & Merchant Fees,2115.43,Merchant Processing - Square,Expense
2025-03-14,Marketing,Content & Creative,10334.27,Stock Images License,Expense
2025-03-14,Marketing,Software & Tools,12781.16,HubSpot License,Expense
2025-03-15,Finance,Recruiting & HR,5742.25,Onboarding Materials,Expense
2025-03-16,Finance,Professional Services,8568.56,Technical Accounting Support,Expense
2025-03-16,Finance,Software & Tools,3940.24,Expensify Licenses,Expense
2025-03-16,Sales,Service Revenue,65448.29,Training Package - Keystone Energy,Revenue
2025-03-16,Operations,Logistics & Shipping,3973.52,Shipping Software License,Expense
2025-03-16,Marketing,Brand & Collateral,3065.01,Trade Show Banners,Expense
2025-03-16,Marketing,Brand & Collateral,5270.31,Company Swag Order,Expense
2025-03-17,Marketing,PR & Communications,5590.69,Press Release Distribution,Expense
2025-03-17,Finance,Training & Certifications,1331.23,Finance Conference - CFO Forum,Expense
2025-03-17,Finance,Banking & Merchant Fees,4533.8,ACH Processing Fees,Expense
2025-03-17,Sales,Sales Commissions,25725.11,SPIF Payout,Expense
2025-03-17,Sales,Sales Commissions,50306.01,Accelerator Bonus,Expense
2025-03-17,Sales,Travel & Entertainment,7644.67,Conference Travel,Expense
2025-03-17,Sales,Sales Commissions,11964.98,Commission Payout - March,Expense
2025-03-18,Finance,Audit & Compliance,8927.31,Internal Audit Services,Expense
2025-03-18,Operations,Office Supplies & General,1470.71,Janitorial Service Contract,Expense
2025-03-18,Operations,Equipment & Maintenance,8517.96,AV Equipment - Conference Room,Expense
2025-03-18,Sales,Training & Development,525.23,Certification Course,Expense
2025-03-18,Sales,Recurring Revenue,142327.11,Platform Access - Acme Corp,Revenue
2025-03-19,Marketing,Digital Advertising,5072.26,Paid Search - Non-Brand,Expense
2025-03-19,Marketing,Digital Advertising,20297.04,Programmatic Buy - Product Launch,Expense
2025-03-19,Marketing,Events & Sponsorships,4331.13,Conference Sponsorship - Dreamforce,Expense
2025-03-19,Sales,Product Sales,151096.42,Starter Bundle - Jasper Analytics,Revenue
2025-03-19,Sales,Service Revenue,112075.64,Training Package - Jasper Analytics,Revenue
2025-03-19,Sales,Software & Subscriptions,4002.59,Gong.io Platform,Expense
2025-03-19,Sales,Training & Development,1018.57,Sales Training Program,Expense
2025-03-20,Sales,Recurring Revenue,372230.41,Annual Contract - Harbor Media,Revenue
2025-03-20,Operations,Insurance,6851.36,Directors & Officers Insurance,Expense
2025-03-20,Sales,Sales Commissions,8455.28,Bonus - Q1 Performance,Expense
2025-03-20,Sales,Recurring Revenue,202028.71,Annual Contract - Summit Healthcare,Revenue
2025-03-20,Sales,Software & Subscriptions,4399.88,Salesforce License,Expense
2025-03-20,Finance,Professional Services,2850.31,Tax Advisory - EY Tax,Expense
2025-03-21,Operations,Security Services,2773.16,Visitor Management System,Expense
2025-03-21,Operations,Office Supplies & General,4197.5,Paper Products,Expense
2025-03-21,Marketing,Events & Sponsorships,2652.53,Webinar Platform Hosting,Expense
2025-03-22,Finance,Office & Admin,927.69,Office Supplies - Finance,Expense
2025-03-22,Sales,Office Supplies,1043.36,Business Cards,Expense
2025-03-22,Sales,Service Revenue,104558.36,Consulting Engagement - Pacific Ventures,Revenue
2025-03-22,Operations,Utilities,459.51,Electric Bill - Regional East,Expense
2025-03-22,Finance,Audit & Compliance,11278.34,Risk Assessment Services,Expense
2025-03-22,Sales,Client Entertainment,4197.41,Golf Outing,Expense
2025-03-23,Operations,Facilities & Rent,11935.27,Building Maintenance Fee,Expense
2025-03-23,Marketing,Software & Tools,3421.95,Drift Chatbot,Expense
2025-03-23,Finance,Banking & Merchant Fees,6217.3,Lockbox Services,Expense
2025-03-23,Sales,Software & Subscriptions,2278.78,Gong.io Platform,Expense
2025-03-23,Sales,Recurring Revenue,137216.23,Annual Contract - Evergreen Retail,Revenue
2025-03-23,Marketing,Content & Creative,14208.86,Freelance Writer - Blog Series,Expense
2025-03-24,Operations,Office Supplies & General,6115.34,Office Supplies - W.B. Mason,Expense
2025-03-24,Marketing,Digital Advertising,3390.52,Programmatic Buy - Lead Gen Q1,Expense
2025-03-24,Sales,Office Supplies,303.23,Presentation Materials,Expense
2025-03-24,Sales,Travel & Entertainment,11544.08,Flight - Miami,Expense
2025-03-24,Sales,Travel & Entertainment,5102.25,Conference Travel,Expense
2025-03-24,Operations,IT Infrastructure,9643.64,Backup & Recovery Services,Expense
2025-03-25,Operations,Security Services,1700.07,Visitor Management System,Expense
2025-03-25,Operations,Facilities & Rent,11373.38,Storage Unit Rental,Expense
2025-03-25,Operations,Logistics & Shipping,4014.33,FedEx Account - Monthly,Expense
2025-03-25,Finance,Professional Services,8694.0,Valuation Services,Expense
2025-03-26,Operations,Facilities & Rent,39695.29,Parking Garage Contract,Expense
2025-03-26,Operations,Logistics & Shipping,3891.15,FedEx Account - Monthly,Expense
2025-03-26,Sales,Product Sales,-530273.77,Starter Bundle - Delta Logistics,Revenue
2025-03-27,Operations,Facilities & Rent,31359.93,Parking Garage Contract,Expense
2025-03-27,Marketing,PR & Communications,6359.79,Executive Comms Coaching,Expense
2025-03-27,Sales,Training & Development,715.39,Workshop Fee,Expense
2025-03-28,Sales,Product Sales,147617.49,Professional Tier - Acme Corp,Revenue
2025-03-28,Operations,IT Infrastructure,16728.99,Cybersecurity Suite - CrowdStrike,Expense
2025-03-28,Sales,Service Revenue,44704.05,Training Package - Frontier Tech,Revenue
2025-04-01,Operations,IT Infrastructure,26815.33,Backup & Recovery Services,Expense
2025-04-01,Operations,Insurance,5732.7,Property Insurance - Quarterly,Expense
2025-04-02,Marketing,Events & Sponsorships,7699.91,Conference Sponsorship - Industry Summit,Expense
2025-04-03,Operations,Equipment & Maintenance,8290.57,Office Furniture - Monitors,Expense
2025-04-03,Sales,Client Entertainment,465.77,Thank You Gift,Expense
2025-04-03,Finance,Professional Services,3923.2,Accounting Policy Consultation,Expense
2025-04-03,Marketing,Content & Creative,6523.69,Freelance Writer - Landing Pages,Expense
2025-04-03,Operations,Office Supplies & General,2927.0,Coffee Service - Monthly,Expense
